Ticker,Date,Zscore,prem_disc
IDXX,2025-09-05,-2.55,0.0447
IDXX,2025-08-06,2.4,-0.4008
IEF,2025-09-05,0.0,0.2959
IEF,2025-08-06,0.91,0.1397
IEX,2025-09-05,-1.61,-0.1298
IEX,2025-08-06,1.54,-0.38
IFF,2025-09-05,-3.83,-0.0252
IFF,2025-08-06,3.23,-0.3163
INCY,2025-09-05,-1.48,0.2957
INCY,2025-08-06,1.3,-0.593
INDA,2025-09-05,0.2,0.3289
INDA,2025-08-06,-1.07,0.9357
INTC,2025-09-05,0.2,-0.2781
INTC,2025-08-06,-1.37,-0.2968
INTU,2025-09-05,0.16,-0.2042
INTU,2025-08-06,2.33,0.8265
INVH,2025-09-05,0.12,0.4182
INVH,2025-08-06,1.61,-0.0632
IP,2025-09-05,-1.7,0.1937
IP,2025-08-06,1.71,-0.6021
IPG,2025-09-05,-0.9,-0.359
IPG,2025-08-06,0.79,-0.2993
IQV,2025-09-05,-0.95,0.1185
IQV,2025-08-06,0.98,-0.491
IR,2025-09-05,-2.04,-0.1301
IR,2025-08-06,2.09,-0.3976
IRM,2025-09-05,-1.74,0.1317
IRM,2025-08-06,2.71,-0.0314
IRS,2025-09-05,-2.33,2.0054
IRS,2025-08-06,1.71,-0.2282
ISRG,2025-09-05,2.6,0.023
ISRG,2025-08-06,0.36,-0.0899
IT,2025-09-05,-2.95,-0.1535
IT,2025-08-06,3.0,-0.5798
ITW,2025-09-05,0.46,-0.0608
ITW,2025-08-06,-1.4,0.7419
IVZ,2025-09-05,-0.79,0.1127
IVZ,2025-08-06,0.84,-0.6363
IWD,2025-09-05,-1.43,0.5223
IWD,2025-08-06,1.63,0.1925
IWF,2025-09-05,-1.59,0.3913
IWF,2025-08-06,1.12,0.3385
IWM,2025-09-05,-0.19,0.0359
IWM,2025-08-06,1.38,0.2215
J,2025-09-05,-2.82,0.2636
J,2025-08-06,2.62,-0.2104
JBHT,2025-09-05,0.79,0.1097
JBHT,2025-08-06,-1.99,-0.2179
JBL,2025-09-05,-0.38,0.356
JBL,2025-08-06,0.03,0.1735
JCI,2025-09-05,-1.3,0.1068
JCI,2025-08-06,1.39,-0.3272
JKHY,2025-09-05,-2.01,0.043
JKHY,2025-08-06,2.05,0.0156
JNJ,2025-09-05,-1.18,0.5918
JNJ,2025-08-06,0.84,0.6907
JPM,2025-09-05,1.1,0.25
JPM,2025-08-06,-2.48,0.1452
K,2025-09-05,1.56,1.3371
K,2025-08-06,-1.17,4.3312
KDP,2025-09-05,1.12,-0.5195
KDP,2025-08-06,1.57,0.3043
KEY,2025-09-05,0.55,-0.0133
KEY,2025-08-06,-1.13,0.0862
