"Date","Ticker","prem_disc","prem_disc_avg","prem_disc_hi","prem_disc_lo"
10/24/2024 0:00:00,"XLV","0.8285","0.1521","0.5405","-0.2363"
10/25/2024 0:00:00,"XLV","0.5732","0.1521","0.5405","-0.2363"
10/28/2024 0:00:00,"XLV","0.7631","0.1521","0.5405","-0.2363"
10/29/2024 0:00:00,"XLV","0.2536","0.1521","0.5405","-0.2363"
10/30/2024 0:00:00,"XLV","0.9535","0.1521","0.5405","-0.2363"
10/31/2024 0:00:00,"XLV","0.5757","0.1521","0.5405","-0.2363"
11/1/2024 0:00:00,"XLV","0.5443","0.1521","0.5405","-0.2363"
11/4/2024 0:00:00,"XLV","0.5338","0.1521","0.5405","-0.2363"
11/5/2024 0:00:00,"XLV","0.7029","0.1521","0.5405","-0.2363"
11/6/2024 0:00:00,"XLV","0.5204","0.1521","0.5405","-0.2363"
11/7/2024 0:00:00,"XLV","0.4757","0.1521","0.5405","-0.2363"
11/8/2024 0:00:00,"XLV","0.2534","0.1521","0.5405","-0.2363"
11/11/2024 0:00:00,"XLV","-0.0851","0.1521","0.5405","-0.2363"
11/12/2024 0:00:00,"XLV","0.4302","0.1521","0.5405","-0.2363"
11/13/2024 0:00:00,"XLV","0.6945","0.1521","0.5405","-0.2363"
11/14/2024 0:00:00,"XLV","0.4473","0.1521","0.5405","-0.2363"
11/15/2024 0:00:00,"XLV","0.1169","0.1521","0.5405","-0.2363"
11/18/2024 0:00:00,"XLV","0.1164","0.1521","0.5405","-0.2363"
11/19/2024 0:00:00,"XLV","0.2084","0.1521","0.5405","-0.2363"
11/20/2024 0:00:00,"XLV","-0.0545","0.1521","0.5405","-0.2363"
11/21/2024 0:00:00,"XLV","-0.0060","0.1521","0.5405","-0.2363"
11/22/2024 0:00:00,"XLV","0.1237","0.1521","0.5405","-0.2363"
11/25/2024 0:00:00,"XLV","0.3123","0.1521","0.5405","-0.2363"
11/26/2024 0:00:00,"XLV","-0.0694","0.1521","0.5405","-0.2363"
11/27/2024 0:00:00,"XLV","0.0689","0.1521","0.5405","-0.2363"
11/29/2024 0:00:00,"XLV","-0.0770","0.1521","0.5405","-0.2363"
12/2/2024 0:00:00,"XLV","-0.0335","0.1521","0.5405","-0.2363"
12/3/2024 0:00:00,"XLV","0.2466","0.1521","0.5405","-0.2363"
12/4/2024 0:00:00,"XLV","0.3175","0.1521","0.5405","-0.2363"
12/5/2024 0:00:00,"XLV","0.5328","0.1521","0.5405","-0.2363"
12/6/2024 0:00:00,"XLV","0.2379","0.1521","0.5405","-0.2363"
12/9/2024 0:00:00,"XLV","0.2431","0.1521","0.5405","-0.2363"
12/10/2024 0:00:00,"XLV","0.2356","0.1521","0.5405","-0.2363"
12/11/2024 0:00:00,"XLV","0.1529","0.1521","0.5405","-0.2363"
12/12/2024 0:00:00,"XLV","0.3223","0.1521","0.5405","-0.2363"
12/13/2024 0:00:00,"XLV","0.0834","0.1521","0.5405","-0.2363"
12/16/2024 0:00:00,"XLV","0.2273","0.1521","0.5405","-0.2363"
12/17/2024 0:00:00,"XLV","0.1977","0.1521","0.5405","-0.2363"
12/18/2024 0:00:00,"XLV","0.3762","0.1521","0.5405","-0.2363"
12/19/2024 0:00:00,"XLV","0.5002","0.1521","0.5405","-0.2363"
12/20/2024 0:00:00,"XLV","0.5192","0.1521","0.5405","-0.2363"
12/23/2024 0:00:00,"XLV","0.3789","0.1521","0.5405","-0.2363"
12/24/2024 0:00:00,"XLV","-0.2641","0.1521","0.5405","-0.2363"
12/26/2024 0:00:00,"XLV","0.4118","0.1521","0.5405","-0.2363"
12/27/2024 0:00:00,"XLV","-0.3036","0.1521","0.5405","-0.2363"
12/30/2024 0:00:00,"XLV","0.3007","0.1521","0.5405","-0.2363"
12/31/2024 0:00:00,"XLV","-0.2243","0.1521","0.5405","-0.2363"
1/2/2025 0:00:00,"XLV","0.5478","0.1521","0.5405","-0.2363"
1/3/2025 0:00:00,"XLV","-0.3023","0.1521","0.5405","-0.2363"
1/6/2025 0:00:00,"XLV","0.4138","0.1521","0.5405","-0.2363"
1/7/2025 0:00:00,"XLV","0.1189","0.1521","0.5405","-0.2363"
1/8/2025 0:00:00,"XLV","0.2994","0.1521","0.5405","-0.2363"
1/10/2025 0:00:00,"XLV","-0.3072","0.1521","0.5405","-0.2363"
1/13/2025 0:00:00,"XLV","0.2131","0.1521","0.5405","-0.2363"
1/14/2025 0:00:00,"XLV","0.5663","0.1521","0.5405","-0.2363"
1/15/2025 0:00:00,"XLV","0.2517","0.1521","0.5405","-0.2363"
1/16/2025 0:00:00,"XLV","0.3356","0.1521","0.5405","-0.2363"
1/17/2025 0:00:00,"XLV","0.2786","0.1521","0.5405","-0.2363"
1/21/2025 0:00:00,"XLV","0.3018","0.1521","0.5405","-0.2363"
1/22/2025 0:00:00,"XLV","-0.0969","0.1521","0.5405","-0.2363"
1/23/2025 0:00:00,"XLV","0.1752","0.1521","0.5405","-0.2363"
1/24/2025 0:00:00,"XLV","0.1663","0.1521","0.5405","-0.2363"
1/27/2025 0:00:00,"XLV","0.1189","0.1521","0.5405","-0.2363"
1/28/2025 0:00:00,"XLV","-0.1800","0.1521","0.5405","-0.2363"
1/29/2025 0:00:00,"XLV","0.0390","0.1521","0.5405","-0.2363"
1/30/2025 0:00:00,"XLV","0.2053","0.1521","0.5405","-0.2363"
1/31/2025 0:00:00,"XLV","0.0480","0.1521","0.5405","-0.2363"
2/3/2025 0:00:00,"XLV","0.0146","0.1521","0.5405","-0.2363"
2/4/2025 0:00:00,"XLV","0.0902","0.1521","0.5405","-0.2363"
2/5/2025 0:00:00,"XLV","0.0333","0.1521","0.5405","-0.2363"
2/6/2025 0:00:00,"XLV","-0.0150","0.1521","0.5405","-0.2363"
2/7/2025 0:00:00,"XLV","-0.1309","0.1521","0.5405","-0.2363"
2/10/2025 0:00:00,"XLV","-0.0493","0.1521","0.5405","-0.2363"
2/11/2025 0:00:00,"XLV","-0.5236","0.1521","0.5405","-0.2363"
2/12/2025 0:00:00,"XLV","-0.3970","0.1521","0.5405","-0.2363"
2/13/2025 0:00:00,"XLV","0.2342","0.1521","0.5405","-0.2363"
2/14/2025 0:00:00,"XLV","-0.3700","0.1521","0.5405","-0.2363"
2/18/2025 0:00:00,"XLV","0.0056","0.1521","0.5405","-0.2363"
2/19/2025 0:00:00,"XLV","-0.3709","0.1521","0.5405","-0.2363"
2/20/2025 0:00:00,"XLV","-0.0565","0.1521","0.5405","-0.2363"
2/21/2025 0:00:00,"XLV","0.1943","0.1521","0.5405","-0.2363"
2/24/2025 0:00:00,"XLV","0.1991","0.1521","0.5405","-0.2363"
2/25/2025 0:00:00,"XLV","0.1448","0.1521","0.5405","-0.2363"
2/26/2025 0:00:00,"XLV","0.4853","0.1521","0.5405","-0.2363"
2/27/2025 0:00:00,"XLV","0.7846","0.1521","0.5405","-0.2363"
2/28/2025 0:00:00,"XLV","0.3093","0.1521","0.5405","-0.2363"
3/3/2025 0:00:00,"XLV","0.4223","0.1521","0.5405","-0.2363"
3/4/2025 0:00:00,"XLV","0.6869","0.1521","0.5405","-0.2363"
3/5/2025 0:00:00,"XLV","0.3253","0.1521","0.5405","-0.2363"
3/6/2025 0:00:00,"XLV","0.4682","0.1521","0.5405","-0.2363"
3/7/2025 0:00:00,"XLV","0.4147","0.1521","0.5405","-0.2363"
3/10/2025 0:00:00,"XLV","0.6477","0.1521","0.5405","-0.2363"
3/11/2025 0:00:00,"XLV","0.8870","0.1521","0.5405","-0.2363"
3/12/2025 0:00:00,"XLV","0.4069","0.1521","0.5405","-0.2363"
3/13/2025 0:00:00,"XLV","0.4010","0.1521","0.5405","-0.2363"
3/14/2025 0:00:00,"XLV","0.4404","0.1521","0.5405","-0.2363"
3/17/2025 0:00:00,"XLV","0.1302","0.1521","0.5405","-0.2363"
3/18/2025 0:00:00,"XLV","0.2692","0.1521","0.5405","-0.2363"
3/19/2025 0:00:00,"XLV","0.3568","0.1521","0.5405","-0.2363"
3/20/2025 0:00:00,"XLV","0.1723","0.1521","0.5405","-0.2363"
3/21/2025 0:00:00,"XLV","-0.3362","0.1521","0.5405","-0.2363"
3/24/2025 0:00:00,"XLV","-0.1921","0.1521","0.5405","-0.2363"
